District,TotalFilings,Chapter7,Chapter11,Chapter12,Chapter13,Business,NonBusiness,Year
     4TH ,95682.0,62438,835,27,32380,3278.0,92404.0,2011
MD       ,25662.0,20418,183,5,5056,658.0,25004.0,2011
"NC, E    ",9964.0,3489,150,6,6319,457.0,9507.0,2011
"NC, M    ",6130.0,3003,33,0,3094,301.0,5829.0,2011
"NC, W    ",7441.0,5126,105,7,2203,389.0,7052.0,2011
SC       ,8105.0,3847,107,3,4146,388.0,7717.0,2011
"VA, E    ",25858.0,16985,176,2,8695,716.0,25142.0,2011
"VA, W    ",7734.0,5423,32,2,2277,176.0,7558.0,2011
"WV, N    ",2220.0,1929,16,1,274,98.0,2122.0,2011
"WV, S    ",2568.0,2218,33,1,316,95.0,2473.0,2011
     5TH ,83229.0,37442,1096,48,44637,4541.0,78688.0,2011
"LA, E    ",4316.0,2302,42,0,1972,234.0,4082.0,2011
"LA, M    ",2044.0,1036,10,1,997,88.0,1956.0,2011
"LA, W    ",11187.0,2901,46,15,8225,300.0,10887.0,2011
"MS, N    ",6101.0,3022,34,5,3040,175.0,5926.0,2011
"MS, S    ",7626.0,4487,38,0,3101,231.0,7395.0,2011
"TX, N    ",18295.0,8210,307,11,9763,1166.0,17129.0,2011
"TX, E    ",6852.0,3441,105,7,3299,505.0,6347.0,2011
"TX, S    ",14694.0,5801,312,3,8577,980.0,13714.0,2011
"TX, W    ",12114.0,6242,202,6,5663,862.0,11252.0,2011
    6TH  ,185693.0,131656,648,60,53328,4412.0,181281.0,2011
"KY, E    ",10862.0,8083,31,3,2744,232.0,10630.0,2011
"KY, W    ",11331.0,8442,37,7,2845,248.0,11083.0,2011
"MI, E    ",44042.0,36487,170,10,7375,1101.0,42941.0,2011
"MI, W    ",13794.0,11846,36,9,1903,498.0,13296.0,2011
"OH, N    ",30743.0,24963,82,1,5697,712.0,30031.0,2011
"OH, S    ",28011.0,19465,59,13,8474,660.0,27351.0,2011
"TN, E    ",15996.0,9540,75,13,6368,350.0,15646.0,2011
"TN, M    ",13060.0,7665,109,2,5284,369.0,12691.0,2011
