,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28
spreecast,75.0,0,48,38,0,0,0,64,0,54,0,0,0,0,67,0,0,0,0,0,38,0,0,35,0,0,0,0,0,0,0,100,0,0,0,0,36,43,0,0,0,78,0,92,0,0,0,0,50,60,0,0
datadock,59.0,76,38,47,100,42,69,68,0,95,21,37,21,32,19,42,34,54,48,70,37,0,0,59,0,31,80,39,0,0,43,33,34,15,34,37,32,0,37,26,49,21,0,23,0,0,53,28,40,28,46,0
surfingbird,0.0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,67,0,32,59,0,0,100,0,0,0,30,29,0,0,0,0,0,38,47,0,47,34,0,0,27,0,0,0,0,0,0,0,0,0
ibetor,0.0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,66,0,42,0,0,0,0,0,43,0,45,0,0,0,0,0,0,0,70,100,0,0,0,0,0,47,0,48,0,0,0,0,0,0,0,0,0
erly,76.0,61,64,56,61,100,66,62,50,72,54,69,72,83,73,53,78,69,73,85,69,87,79,72,67,52,79,78,69,62,59,65,77,66,75,88,65,68,76,77,63,88,82,72,71,65,81,78,81,82,73,75
kaboodle,58.0,55,50,56,55,58,61,57,61,60,70,62,59,53,49,59,54,57,52,48,56,59,53,58,59,68,56,58,59,62,65,58,59,60,66,65,52,56,57,55,57,54,53,68,61,62,61,61,57,64,60,100
247sports,35.0,32,45,43,41,45,35,48,42,42,43,37,42,40,26,36,33,29,33,34,36,40,37,38,48,55,51,60,100,45,53,49,44,36,45,32,25,25,26,28,26,32,35,29,34,36,32,34,34,31,27,14
rocketalk,0.0,0,70,56,0,65,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,65,0,0,41,39,0,55,0,50,47,0,0,74,69,0,100,42,0,49,0,0,0,0,35,0
minicabster,0.0,11,0,0,0,0,8,0,0,0,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,100
authorstream,0.0,81,36,0,51,73,68,100,0,29,24,0,43,51,0,33,43,65,0,30,0,0,40,0,29,0,0,0,0,30,0,46,0,0,0,38,0,0,0,0,36,23,0,38,0,44,0,0,57,0,46,0
openwager,0.0,0,89,0,0,0,0,0,0,0,0,74,0,0,0,83,0,0,0,0,0,0,0,100,0,0,49,41,0,0,0,0,0,0,0,0,33,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
betnow,51.0,56,47,42,48,46,44,41,52,55,48,61,74,92,82,75,67,76,87,86,70,73,68,74,100,79,82,69,89,85,71,72,78,59,59,45,49,50,41,66,72,65,55,62,51,54,62,55,55,47,44,44
trimenergy,0.0,36,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,38,29,0,0,0,71,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
synterra,100.0,0,0,0,0,58,0,0,52,0,0,0,0,0,0,0,0,0,53,0,39,0,0,0,0,66,0,0,0,0,80,0,0,0,0,0,0,0,76,0,34,0,0,0,0,0,0,51,56,0,50,0
1playsports,0.0,0,0,0,0,0,0,0,0,0,43,0,28,100,0,0,15,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,19,0,0,0,0,24,0,0,0,0,0,0
millions.co,37.0,0,0,0,0,53,53,54,0,31,0,0,29,30,0,0,0,0,0,0,0,32,0,85,0,0,0,0,0,0,0,38,0,0,0,100,0,0,0,0,0,0,0,0,0,0,38,0,0,83,32,0
